year,month,yearmonth,decimal_date,days,type,ppm
1964,12,1964-12-01,1964.9579999999999,,trend,319.59
1965,1,1965-01-01,1965.0420000000001,,average,319.44
1965,1,1965-01-01,1965.0420000000001,,interpolated,319.44
1965,1,1965-01-01,1965.0420000000001,,trend,319.48
1965,2,1965-02-01,1965.125,,average,320.44
1965,2,1965-02-01,1965.125,,interpolated,320.44
1965,2,1965-02-01,1965.125,,trend,319.97
1965,3,1965-03-01,1965.2079999999999,,average,320.89
1965,3,1965-03-01,1965.2079999999999,,interpolated,320.89
1965,3,1965-03-01,1965.2079999999999,,trend,319.65
1965,4,1965-04-01,1965.2920000000001,,average,322.13
1965,4,1965-04-01,1965.2920000000001,,interpolated,322.13
1965,4,1965-04-01,1965.2920000000001,,trend,319.8
1965,5,1965-05-01,1965.375,,average,322.16
1965,5,1965-05-01,1965.375,,interpolated,322.16
1965,5,1965-05-01,1965.375,,trend,319.36
1965,6,1965-06-01,1965.4579999999999,,average,321.87
1965,6,1965-06-01,1965.4579999999999,,interpolated,321.87
1965,6,1965-06-01,1965.4579999999999,,trend,319.65
1965,7,1965-07-01,1965.5420000000001,,average,321.39
1965,7,1965-07-01,1965.5420000000001,,interpolated,321.39
1965,7,1965-07-01,1965.5420000000001,,trend,320.51
1965,8,1965-08-01,1965.625,,average,318.81
1965,8,1965-08-01,1965.625,,interpolated,318.81
1965,8,1965-08-01,1965.625,,trend,319.93
1965,9,1965-09-01,1965.7079999999999,,average,317.81
1965,9,1965-09-01,1965.7079999999999,,interpolated,317.81
1965,9,1965-09-01,1965.7079999999999,,trend,320.68
1965,10,1965-10-01,1965.7920000000001,,average,317.3
1965,10,1965-10-01,1965.7920000000001,,interpolated,317.3
1965,10,1965-10-01,1965.7920000000001,,trend,320.36
1965,11,1965-11-01,1965.875,,average,318.87
1965,11,1965-11-01,1965.875,,interpolated,318.87
1965,11,1965-11-01,1965.875,,trend,320.87
1965,12,1965-12-01,1965.9579999999999,,average,319.42
1965,12,1965-12-01,1965.9579999999999,,interpolated,319.42
1965,12,1965-12-01,1965.9579999999999,,trend,320.26
1966,1,1966-01-01,1966.0420000000001,,average,320.62
1966,1,1966-01-01,1966.0420000000001,,interpolated,320.62
1966,1,1966-01-01,1966.0420000000001,,trend,320.63
1966,2,1966-02-01,1966.125,,average,321.59
1966,2,1966-02-01,1966.125,,interpolated,321.59
1966,2,1966-02-01,1966.125,,trend,321.1
1966,3,1966-03-01,1966.2079999999999,,average,322.39
1966,3,1966-03-01,1966.2079999999999,,interpolated,322.39
1966,3,1966-03-01,1966.2079999999999,,trend,321.16
1966,4,1966-04-01,1966.2920000000001,,average,323.87
1966,4,1966-04-01,1966.2920000000001,,interpolated,323.87
1966,4,1966-04-01,1966.2920000000001,,trend,321.51
1966,5,1966-05-01,1966.375,,average,324.01
1966,5,1966-05-01,1966.375,,interpolated,324.01
1966,5,1966-05-01,1966.375,,trend,321.18
1966,6,1966-06-01,1966.4579999999999,,average,323.75
1966,6,1966-06-01,1966.4579999999999,,interpolated,323.75
1966,6,1966-06-01,1966.4579999999999,,trend,321.52
1966,7,1966-07-01,1966.5420000000001,,average,322.39
1966,7,1966-07-01,1966.5420000000001,,interpolated,322.39
1966,7,1966-07-01,1966.5420000000001,,trend,321.49
1966,8,1966-08-01,1966.625,,average,320.37
1966,8,1966-08-01,1966.625,,interpolated,320.37
1966,8,1966-08-01,1966.625,,trend,321.5
1966,9,1966-09-01,1966.7079999999999,,average,318.64
1966,9,1966-09-01,1966.7079999999999,,interpolated,318.64
1966,9,1966-09-01,1966.7079999999999,,trend,321.54
1966,10,1966-10-01,1966.7920000000001,,average,318.1
1966,10,1966-10-01,1966.7920000000001,,interpolated,318.1
1966,10,1966-10-01,1966.7920000000001,,trend,321.18
1966,11,1966-11-01,1966.875,,average,319.79
1966,11,1966-11-01,1966.875,,interpolated,319.79
1966,11,1966-11-01,1966.875,,trend,321.84
1966,12,1966-12-01,1966.9579999999999,,average,321.08
1966,12,1966-12-01,1966.9579999999999,,interpolated,321.08
1966,12,1966-12-01,1966.9579999999999,,trend,321.95
1967,1,1967-01-01,1967.0420000000001,,average,322.07
1967,1,1967-01-01,1967.0420000000001,,interpolated,322.07
1967,1,1967-01-01,1967.0420000000001,,trend,322.07
1967,2,1967-02-01,1967.125,,average,322.5
1967,2,1967-02-01,1967.125,,interpolated,322.5
1967,2,1967-02-01,1967.125,,trend,321.94
1967,3,1967-03-01,1967.2079999999999,,average,323.04
1967,3,1967-03-01,1967.2079999999999,,interpolated,323.04
1967,3,1967-03-01,1967.2079999999999,,trend,321.72
1967,4,1967-04-01,1967.2920000000001,,average,324.42
1967,4,1967-04-01,1967.2920000000001,,interpolated,324.42
1967,4,1967-04-01,1967.2920000000001,,trend,322.05
1967,5,1967-05-01,1967.375,,average,325.0
1967,5,1967-05-01,1967.375,,interpolated,325.0
1967,5,1967-05-01,1967.375,,trend,322.27
1967,6,1967-06-01,1967.4579999999999,,average,324.09
1967,6,1967-06-01,1967.4579999999999,,interpolated,324.09
1967,6,1967-06-01,1967.4579999999999,,trend,321.94
1967,7,1967-07-01,1967.5420000000001,,average,322.55
1967,7,1967-07-01,1967.5420000000001,,interpolated,322.55
1967,7,1967-07-01,1967.5420000000001,,trend,321.66
1967,8,1967-08-01,1967.625,,average,320.92
1967,8,1967-08-01,1967.625,,interpolated,320.92
1967,8,1967-08-01,1967.625,,trend,322.04
1967,9,1967-09-01,1967.7079999999999,,average,319.31
1967,9,1967-09-01,1967.7079999999999,,interpolated,319.31
1967,9,1967-09-01,1967.7079999999999,,trend,322.19
1967,10,1967-10-01,1967.7920000000001,,average,319.31
1967,10,1967-10-01,1967.7920000000001,,interpolated,319.31
1967,10,1967-10-01,1967.7920000000001,,trend,322.36
1967,11,1967-11-01,1967.875,,average,320.72
1967,11,1967-11-01,1967.875,,interpolated,320.72
1967,11,1967-11-01,1967.875,,trend,322.78
1967,12,1967-12-01,1967.9579999999999,,average,321.96
1967,12,1967-12-01,1967.9579999999999,,interpolated,321.96
1967,12,1967-12-01,1967.9579999999999,,trend,322.86
1968,1,1968-01-01,1968.0420000000001,,average,322.57
1968,1,1968-01-01,1968.0420000000001,,interpolated,322.57
1968,1,1968-01-01,1968.0420000000001,,trend,322.55
1968,2,1968-02-01,1968.125,,average,323.15
1968,2,1968-02-01,1968.125,,interpolated,323.15
1968,2,1968-02-01,1968.125,,trend,322.56
1968,3,1968-03-01,1968.2079999999999,,average,323.89
1968,3,1968-03-01,1968.2079999999999,,interpolated,323.89
1968,3,1968-03-01,1968.2079999999999,,trend,322.59
1968,4,1968-04-01,1968.2920000000001,,average,325.02
1968,4,1968-04-01,1968.2920000000001,,interpolated,325.02
1968,4,1968-04-01,1968.2920000000001,,trend,322.73
1968,5,1968-05-01,1968.375,,average,325.57
1968,5,1968-05-01,1968.375,,interpolated,325.57
1968,5,1968-05-01,1968.375,,trend,322.87
1968,6,1968-06-01,1968.4579999999999,,average,325.36
1968,6,1968-06-01,1968.4579999999999,,interpolated,325.36
1968,6,1968-06-01,1968.4579999999999,,trend,323.2
1968,7,1968-07-01,1968.5420000000001,,average,324.14
1968,7,1968-07-01,1968.5420000000001,,interpolated,324.14
1968,7,1968-07-01,1968.5420000000001,,trend,323.25
1968,8,1968-08-01,1968.625,,average,322.03
1968,8,1968-08-01,1968.625,,interpolated,322.03
1968,8,1968-08-01,1968.625,,trend,323.15
1968,9,1968-09-01,1968.7079999999999,,average,320.41
1968,9,1968-09-01,1968.7079999999999,,interpolated,320.41
1968,9,1968-09-01,1968.7079999999999,,trend,323.31
1968,10,1968-10-01,1968.7920000000001,,average,320.25
